system,system_label,method,kcut,temperature_K,coanion,salt,quantity,x_Cl,x_I,x_coanion,mu_ex,mu_ex_units,mu_ex_kBT,mu_ex_eV,mu_ex_kJ_mol,mu_ex_raw_kBT,mu_ex_reference_kBT,reference_x_Cl,reference_x_coanion,source_s0_csv,source_split,mu_ex_std_split1_to3,mu_ex_se_split1_to3,mu_ex_kBT_std_split1_to3,mu_ex_kBT_se_split1_to3,mu_ex_uncertainty_n_splits
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.09,0.09,8.587188530752785,kJ/mol,3.464032828406923,0.08899993752038426,8.587188530752785,3.478458876666791,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.5966586302933802,0.34448102081419646,0.24068937991598874,0.13896207828558022,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0925,0.0925,9.005120574942108,kJ/mol,3.6326247157202567,0.0933314979242823,9.005120574942108,3.6470507639801246,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.6550649077992017,0.37820190085454647,0.26425020683164896,0.15256492804766683,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.095,0.095,9.435840123688788,kJ/mol,3.806375024258588,0.09779559147364125,9.435840123688788,3.820801072518456,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.7101385950526193,0.40999870901557245,0.28646668198460956,0.16539161595767327,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0975,0.0975,9.8797051654792,kJ/mol,3.9854281649504237,0.10239592845766765,9.8797051654792,3.9998542132102917,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.763781627466659,0.44096952821996604,0.30810603747704557,0.17788510367632118,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.1,0.1,10.337012093373046,kJ/mol,4.169903701409075,0.10713558077395646,10.337012093373046,4.184329749668943,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.8204006235020685,0.4736585208222561,0.3309458831699299,0.19107169473535748,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0,0.0,-0.07185415884944495,kJ/mol,-0.02898564113512285,-0.000744715878226998,-0.07185415884944495,-0.014559592875255045,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.17299583511911945,0.09987919197470774,0.06978573369900933,0.040290812136718576,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0025,0.0025,-0.03650126451838707,kJ/mol,-0.01472444422493345,-0.00037830894825674477,-0.03650126451838707,-0.00029839596506564347,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.25897488811544217,0.14951922136680376,0.1044692929417096,0.06031537440194591,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.005,0.005,0.03131005007543796,kJ/mol,0.012630331910376004,0.0003245058019274438,0.03131005007543796,0.02705638017024381,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.30051980418777247,0.17350518984462407,0.12122832328238228,0.06999120508049039,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0075,0.0075,0.1295151963198612,kJ/mol,0.0522458416072806,0.0013423304192201613,0.1295151963198612,0.0666718898671484,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.31131171551877085,0.17973590275664655,0.12558173126893757,0.07250464635342035,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.01,0.01,0.25532629951555824,kJ/mol,0.10299746888170597,0.0026462706184702256,0.25532629951555824,0.11742351714157377,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.3034300742560868,0.17518543505197987,0.12240231300207548,0.0706690083611811,3
