system,x_NaCl,pair,r_A,g_r,g_r_block_sd
cl4256,0.014925373,Mg-Cl,4.31000,0.67930630,0.00766442
cl4256,0.014925373,Mg-Cl,4.33000,0.69084955,0.01072397
cl4256,0.014925373,Mg-Cl,4.35000,0.69944347,0.00566648
cl4256,0.014925373,Mg-Cl,4.37000,0.71601969,0.00582361
cl4256,0.014925373,Mg-Cl,4.39000,0.72336707,0.00420752
cl4256,0.014925373,Mg-Cl,4.41000,0.74771601,0.00797358
cl4256,0.014925373,Mg-Cl,4.43000,0.75661882,0.00535217
cl4256,0.014925373,Mg-Cl,4.45000,0.76595488,0.00343855
cl4256,0.014925373,Mg-Cl,4.47000,0.78063632,0.00434953
cl4256,0.014925373,Mg-Cl,4.49000,0.78733599,0.00742341
cl4256,0.014925373,Mg-Cl,4.51000,0.80807321,0.00633587
cl4256,0.014925373,Mg-Cl,4.53000,0.81925563,0.00888200
cl4256,0.014925373,Mg-Cl,4.55000,0.82423482,0.00794392
cl4256,0.014925373,Mg-Cl,4.57000,0.83777658,0.00555704
cl4256,0.014925373,Mg-Cl,4.59000,0.85282368,0.00808240
cl4256,0.014925373,Mg-Cl,4.61000,0.86643230,0.00769829
cl4256,0.014925373,Mg-Cl,4.63000,0.87871176,0.00819750
cl4256,0.014925373,Mg-Cl,4.65000,0.89411397,0.01176483
cl4256,0.014925373,Mg-Cl,4.67000,0.90643512,0.00365554
cl4256,0.014925373,Mg-Cl,4.69000,0.91780919,0.00948903
cl4256,0.014925373,Mg-Cl,4.71000,0.92670428,0.00883414
cl4256,0.014925373,Mg-Cl,4.73000,0.93558613,0.00809773
cl4256,0.014925373,Mg-Cl,4.75000,0.95630399,0.00247257
cl4256,0.014925373,Mg-Cl,4.77000,0.96052499,0.00876491
cl4256,0.014925373,Mg-Cl,4.79000,0.96934478,0.01297163
cl4256,0.014925373,Mg-Cl,4.81000,0.98969146,0.00665141
cl4256,0.014925373,Mg-Cl,4.83000,0.99660763,0.00547638
cl4256,0.014925373,Mg-Cl,4.85000,1.00967144,0.01094965
cl4256,0.014925373,Mg-Cl,4.87000,1.02013947,0.00351046
cl4256,0.014925373,Mg-Cl,4.89000,1.03659539,0.00774714
cl4256,0.014925373,Mg-Cl,4.91000,1.03988795,0.00254895
cl4256,0.014925373,Mg-Cl,4.93000,1.06051137,0.00702577
cl4256,0.014925373,Mg-Cl,4.95000,1.07079923,0.01291032
cl4256,0.014925373,Mg-Cl,4.97000,1.07765949,0.00952492
cl4256,0.014925373,Mg-Cl,4.99000,1.09025892,0.00553562
cl4256,0.014925373,Mg-Cl,5.01000,1.10583767,0.00867064
cl4256,0.014925373,Mg-Cl,5.03000,1.11128019,0.00956870
cl4256,0.014925373,Mg-Cl,5.05000,1.12224708,0.00464644
cl4256,0.014925373,Mg-Cl,5.07000,1.13898892,0.00862671
cl4256,0.014925373,Mg-Cl,5.09000,1.14750751,0.01281189
cl4256,0.014925373,Mg-Cl,5.11000,1.15950539,0.00757152
cl4256,0.014925373,Mg-Cl,5.13000,1.17390263,0.00467793
cl4256,0.014925373,Mg-Cl,5.15000,1.18356805,0.01081420
cl4256,0.014925373,Mg-Cl,5.17000,1.19190082,0.00931429
cl4256,0.014925373,Mg-Cl,5.19000,1.20647209,0.00928975
cl4256,0.014925373,Mg-Cl,5.21000,1.21474685,0.00726779
cl4256,0.014925373,Mg-Cl,5.23000,1.22584442,0.00503435
cl4256,0.014925373,Mg-Cl,5.25000,1.24182338,0.00448431
cl4256,0.014925373,Mg-Cl,5.27000,1.24265761,0.01041878
cl4256,0.014925373,Mg-Cl,5.29000,1.24844126,0.00804117
cl4256,0.014925373,Mg-Cl,5.31000,1.25892797,0.01084504
cl4256,0.014925373,Mg-Cl,5.33000,1.26836483,0.00634570
cl4256,0.014925373,Mg-Cl,5.35000,1.28947599,0.00936069
cl4256,0.014925373,Mg-Cl,5.37000,1.28652705,0.01385588
cl4256,0.014925373,Mg-Cl,5.39000,1.29313766,0.00571046
cl4256,0.014925373,Mg-Cl,5.41000,1.29290216,0.00600995
cl4256,0.014925373,Mg-Cl,5.43000,1.30777661,0.00612089
cl4256,0.014925373,Mg-Cl,5.45000,1.31780708,0.00334284
cl4256,0.014925373,Mg-Cl,5.47000,1.32127960,0.01608108
cl4256,0.014925373,Mg-Cl,5.49000,1.32138081,0.00569080
cl4256,0.014925373,Mg-Cl,5.51000,1.33092953,0.00781882
cl4256,0.014925373,Mg-Cl,5.53000,1.32950405,0.00646474
cl4256,0.014925373,Mg-Cl,5.55000,1.32786934,0.00510505
cl4256,0.014925373,Mg-Cl,5.57000,1.33999167,0.00292196
cl4256,0.014925373,Mg-Cl,5.59000,1.33165566,0.00330029
cl4256,0.014925373,Mg-Cl,5.61000,1.33554890,0.00530155
cl4256,0.014925373,Mg-Cl,5.63000,1.32944096,0.00236564
cl4256,0.014925373,Mg-Cl,5.65000,1.32901572,0.00734655
cl4256,0.014925373,Mg-Cl,5.67000,1.32054226,0.00743558
cl4256,0.014925373,Mg-Cl,5.69000,1.32569999,0.00742873
cl4256,0.014925373,Mg-Cl,5.71000,1.31435264,0.00340056
cl4256,0.014925373,Mg-Cl,5.73000,1.30780501,0.00684693
cl4256,0.014925373,Mg-Cl,5.75000,1.30867578,0.00771427
cl4256,0.014925373,Mg-Cl,5.77000,1.29753793,0.01311956
cl4256,0.014925373,Mg-Cl,5.79000,1.29123210,0.01076796
cl4256,0.014925373,Mg-Cl,5.81000,1.28493534,0.00480644
cl4256,0.014925373,Mg-Cl,5.83000,1.27285765,0.00981717
cl4256,0.014925373,Mg-Cl,5.85000,1.26167295,0.00772643
cl4256,0.014925373,Mg-Cl,5.87000,1.25598270,0.00418410
cl4256,0.014925373,Mg-Cl,5.89000,1.24705718,0.01134520
cl4256,0.014925373,Mg-Cl,5.91000,1.23538812,0.00894710
cl4256,0.014925373,Mg-Cl,5.93000,1.22336196,0.00880575
cl4256,0.014925373,Mg-Cl,5.95000,1.21278310,0.00485751
cl4256,0.014925373,Mg-Cl,5.97000,1.20331260,0.00550488
cl4256,0.014925373,Mg-Cl,5.99000,1.19380024,0.00691118
cl4256,0.014925373,Mg-Cl,6.01000,1.18063843,0.00228302
cl4256,0.014925373,Mg-Cl,6.03000,1.16692855,0.00650057
cl4256,0.014925373,Mg-Cl,6.05000,1.15601902,0.00289634
cl4256,0.014925373,Mg-Cl,6.07000,1.13893307,0.00732947
cl4256,0.014925373,Mg-Cl,6.09000,1.13536343,0.00657741
cl4256,0.014925373,Mg-Cl,6.11000,1.12044203,0.00653538
cl4256,0.014925373,Mg-Cl,6.13000,1.10505937,0.00245785
cl4256,0.014925373,Mg-Cl,6.15000,1.09327427,0.00741089
cl4256,0.014925373,Mg-Cl,6.17000,1.08454413,0.00876756
cl4256,0.014925373,Mg-Cl,6.19000,1.07147764,0.01036728
cl4256,0.014925373,Mg-Cl,6.21000,1.05831877,0.00273498
cl4256,0.014925373,Mg-Cl,6.23000,1.04731193,0.00607077
cl4256,0.014925373,Mg-Cl,6.25000,1.03581658,0.00284996
cl4256,0.014925373,Mg-Cl,6.27000,1.02396345,0.00320575
