system,x_NaCl,r_A,g_LiCl,g_LiCl_block_sd,cutoff_A
li3040,0.05,2.09,1.930501067216111,0.020904988181260534,3.613764810414501
li3040,0.05,2.1100000000000003,2.256048263047071,0.008710446421203564,3.613764810414501
li3040,0.05,2.13,2.545896527027923,0.03361003031861739,3.613764810414501
li3040,0.05,2.1500000000000004,2.8285964563343677,0.027169693447008827,3.613764810414501
li3040,0.05,2.17,3.0967740390605325,0.010948923023145363,3.613764810414501
li3040,0.05,2.1900000000000004,3.321663009558092,0.018214268216092226,3.613764810414501
li3040,0.05,2.21,3.491413466863395,0.011041356168221498,3.613764810414501
li3040,0.05,2.2300000000000004,3.6402703330606205,0.03266112509694422,3.613764810414501
li3040,0.05,2.25,3.7270872196637534,0.007031447709413322,3.613764810414501
li3040,0.05,2.2700000000000005,3.825336787934135,0.030401535839730764,3.613764810414501
li3040,0.05,2.29,3.8439993900317715,0.02001435555814162,3.613764810414501
li3040,0.05,2.31,3.8164097911759742,0.05485753885361151,3.613764810414501
li3040,0.05,2.33,3.774305842911395,0.026565404237764975,3.613764810414501
li3040,0.05,2.3499999999999996,3.7361644336196917,0.037206868507011256,3.613764810414501
li3040,0.05,2.37,3.647348079130809,0.023359415775527463,3.613764810414501
li3040,0.05,2.3899999999999997,3.5517792932726957,0.01923858016476315,3.613764810414501
li3040,0.05,2.41,3.4507829495635076,0.014039004768491082,3.613764810414501
li3040,0.05,2.4299999999999997,3.2763236758344645,0.015290459523146198,3.613764810414501
li3040,0.05,2.45,3.1591791849915984,0.03394281730689512,3.613764810414501
li3040,0.05,2.4699999999999998,3.0351824712486457,0.016794371491260937,3.613764810414501
li3040,0.05,2.49,2.8600540417554003,0.016477046796262575,3.613764810414501
li3040,0.05,2.51,2.7339040548288485,0.01524734410550443,3.613764810414501
li3040,0.05,2.5300000000000002,2.581369525493047,0.014497598606207793,3.613764810414501
li3040,0.05,2.55,2.453600084524385,0.010189633627351327,3.613764810414501
li3040,0.05,2.5700000000000003,2.322840091043657,0.0183779969312767,3.613764810414501
li3040,0.05,2.59,2.215522371928361,0.010577804138533537,3.613764810414501
li3040,0.05,2.6100000000000003,2.079702952544215,0.012945120055725718,3.613764810414501
li3040,0.05,2.63,1.97547315903852,0.0163209695337087,3.613764810414501
li3040,0.05,2.6500000000000004,1.8607683641805575,0.013138530188603708,3.613764810414501
li3040,0.05,2.67,1.7568776963856008,0.02014001551954279,3.613764810414501
li3040,0.05,2.6900000000000004,1.6717453140094038,0.010925324881324711,3.613764810414501
li3040,0.05,2.71,1.5690510173885133,0.012252657081676612,3.613764810414501
li3040,0.05,2.7300000000000004,1.494644039513692,0.013115513719635838,3.613764810414501
li3040,0.05,2.75,1.4233114016646142,0.02006076607527097,3.613764810414501
li3040,0.05,2.7700000000000005,1.3525477919966062,0.009653178554597651,3.613764810414501
li3040,0.05,2.79,1.2858790745774695,0.007902067521342997,3.613764810414501
li3040,0.05,2.81,1.218019342280589,0.009583458655358484,3.613764810414501
li3040,0.05,2.83,1.172545673785556,0.004929138670430013,3.613764810414501
li3040,0.05,2.8499999999999996,1.1102269629968424,0.012300859897219163,3.613764810414501
li3040,0.05,2.87,1.0629164058557132,0.008917844947404073,3.613764810414501
li3040,0.05,2.8899999999999997,1.0211801821000601,0.013808173782315181,3.613764810414501
li3040,0.05,2.91,0.9814024214100606,0.011703376975692585,3.613764810414501
li3040,0.05,2.9299999999999997,0.9424570745152373,0.013241171726522206,3.613764810414501
li3040,0.05,2.95,0.9094369962327419,0.006878032301373701,3.613764810414501
li3040,0.05,2.9699999999999998,0.8807080652100149,0.00934655835066976,3.613764810414501
li3040,0.05,2.99,0.843497283696108,0.014889015962748843,3.613764810414501
li3040,0.05,3.01,0.8159217895264942,0.010811711875452209,3.613764810414501
li3040,0.05,3.0300000000000002,0.7970802317590664,0.005551305488672496,3.613764810414501
li3040,0.05,3.05,0.7751611140410694,0.008354741139937168,3.613764810414501
li3040,0.05,3.0700000000000003,0.7520046480970095,0.010819874526212664,3.613764810414501
li3040,0.05,3.09,0.7279658001384899,0.006584815356335754,3.613764810414501
li3040,0.05,3.1100000000000003,0.7156560950902616,0.007476495976403754,3.613764810414501
li3040,0.05,3.13,0.7023345265482707,0.00662747706493388,3.613764810414501
li3040,0.05,3.1500000000000004,0.6877969584515967,0.010256782483701769,3.613764810414501
li3040,0.05,3.17,0.664774887452049,0.010544503911530806,3.613764810414501
li3040,0.05,3.1900000000000004,0.6516986943110818,0.007778633827203273,3.613764810414501
li3040,0.05,3.21,0.6479451522567156,0.00528026613854526,3.613764810414501
li3040,0.05,3.2300000000000004,0.6307110430775472,0.013216696241019047,3.613764810414501
li3040,0.05,3.25,0.6197431064958298,0.004516732996486467,3.613764810414501
li3040,0.05,3.2700000000000005,0.6072969890190772,0.0053768914252986764,3.613764810414501
li3040,0.05,3.29,0.607056805009212,0.008130632955967904,3.613764810414501
li3040,0.05,3.3100000000000005,0.5904841075797788,0.00508143360148003,3.613764810414501
li3040,0.05,3.33,0.5907229099143237,0.007118107106604647,3.613764810414501
li3040,0.05,3.3499999999999996,0.5761909187134547,0.0058795314389105185,3.613764810414501
li3040,0.05,3.37,0.5766465614599049,0.007879638459500128,3.613764810414501
li3040,0.05,3.3899999999999997,0.5702094760623043,0.00842672004199711,3.613764810414501
li3040,0.05,3.41,0.5670832777750627,0.008326671892657388,3.613764810414501
li3040,0.05,3.4299999999999997,0.5625225750300993,0.007504843522755507,3.613764810414501
li3040,0.05,3.45,0.5560008883057238,0.00735855332998216,3.613764810414501
li3040,0.05,3.4699999999999998,0.5553860265002581,0.005662283580346378,3.613764810414501
li3040,0.05,3.49,0.5465475768410967,0.0027876232955236883,3.613764810414501
li3040,0.05,3.51,0.5531549554792657,0.010648927103980063,3.613764810414501
li3040,0.05,3.5300000000000002,0.5496597368865008,0.005292821872786014,3.613764810414501
li3040,0.05,3.55,0.5495471643266433,0.0038393322866708515,3.613764810414501
li3040,0.05,3.5700000000000003,0.5457009933809001,0.008228607505763168,3.613764810414501
li3040,0.05,3.59,0.5400845312820591,0.007236221570372156,3.613764810414501
li3040,0.05,3.6100000000000003,0.5459286629118625,0.007209315653248371,3.613764810414501
li3040,0.05,3.63,0.5449385042790301,0.006910356843122014,3.613764810414501
li3040,0.05,3.6500000000000004,0.5435880806751625,0.005087599591342912,3.613764810414501
li3040,0.05,3.67,0.5514270154391097,0.004802487528149688,3.613764810414501
li3040,0.05,3.6900000000000004,0.546897155708936,0.009299908911897452,3.613764810414501
li3040,0.05,3.71,0.549319877732299,0.005363282370490133,3.613764810414501
li3040,0.05,3.7300000000000004,0.5497808264315032,0.004043659273542704,3.613764810414501
li3040,0.05,3.75,0.5585798085638882,0.006410887053537124,3.613764810414501
li3040,0.05,3.7700000000000005,0.5548039066068615,0.00543258343606651,3.613764810414501
li3040,0.05,3.79,0.5625176325589226,0.009330310830795205,3.613764810414501
li3040,0.05,3.8100000000000005,0.5615100127564358,0.006029878733002112,3.613764810414501
li3040,0.05,3.83,0.5686613055584651,0.005432802409717669,3.613764810414501
li3040,0.05,3.8499999999999996,0.5704639383181195,0.005750655174911115,3.613764810414501
li3040,0.05,3.87,0.5755856090335153,0.005976822926313766,3.613764810414501
li3040,0.05,3.8899999999999997,0.5768982034371545,0.002412016528831349,3.613764810414501
li3040,0.05,3.91,0.5778931155392769,0.004927395474182892,3.613764810414501
li3040,0.05,3.9299999999999997,0.5899661346115039,0.0060916328145458306,3.613764810414501
li3040,0.05,3.95,0.5961157773666724,0.0014974466276717285,3.613764810414501
li3040,0.05,3.9699999999999998,0.6003271423255555,0.007277278515952975,3.613764810414501
li3040,0.05,3.99,0.6072624554790409,0.0038133073753691205,3.613764810414501
li3040,0.05,4.01,0.6130657087976243,0.006447891932150887,3.613764810414501
li3040,0.05,4.03,0.6210152507466374,0.00722669022809199,3.613764810414501
li3040,0.05,4.050000000000001,0.622661285159253,0.006409292640596664,3.613764810414501
li3040,0.05,4.07,0.636011404217131,0.010409469810311843,3.613764810414501
li3040,0.05,4.09,0.6458141170533733,0.006685949632237665,3.613764810414501
li3040,0.05,4.109999999999999,0.6512530183439024,0.007100496019952287,3.613764810414501
li3040,0.05,4.13,0.6563747386215883,0.004978338954084558,3.613764810414501
li3040,0.05,4.15,0.6574581763345217,0.00494870486005169,3.613764810414501
li3040,0.05,4.17,0.6722087063409591,0.009326062556779023,3.613764810414501
li3040,0.05,4.1899999999999995,0.683961119497077,0.0050324099717123745,3.613764810414501
li2880,0.1,0.01,0.0,0.0,3.6143165654334726
li2880,0.1,0.03,0.0,0.0,3.6143165654334726
li2880,0.1,0.05,0.0,0.0,3.6143165654334726
li2880,0.1,0.07,0.0,0.0,3.6143165654334726
li2880,0.1,0.09,0.0,0.0,3.6143165654334726
li2880,0.1,0.11,0.0,0.0,3.6143165654334726
li2880,0.1,0.13,0.0,0.0,3.6143165654334726
li2880,0.1,0.15000000000000002,0.0,0.0,3.6143165654334726
li2880,0.1,0.16999999999999998,0.0,0.0,3.6143165654334726
li2880,0.1,0.19,0.0,0.0,3.6143165654334726
li2880,0.1,0.21000000000000002,0.0,0.0,3.6143165654334726
li2880,0.1,0.22999999999999998,0.0,0.0,3.6143165654334726
li2880,0.1,0.25,0.0,0.0,3.6143165654334726
li2880,0.1,0.27,0.0,0.0,3.6143165654334726
li2880,0.1,0.29000000000000004,0.0,0.0,3.6143165654334726
li2880,0.1,0.31,0.0,0.0,3.6143165654334726
li2880,0.1,0.33,0.0,0.0,3.6143165654334726
li2880,0.1,0.35,0.0,0.0,3.6143165654334726
li2880,0.1,0.37,0.0,0.0,3.6143165654334726
li2880,0.1,0.39,0.0,0.0,3.6143165654334726
li2880,0.1,0.41000000000000003,0.0,0.0,3.6143165654334726
li2880,0.1,0.43,0.0,0.0,3.6143165654334726
li2880,0.1,0.45,0.0,0.0,3.6143165654334726
li2880,0.1,0.47,0.0,0.0,3.6143165654334726
li2880,0.1,0.49,0.0,0.0,3.6143165654334726
li2880,0.1,0.51,0.0,0.0,3.6143165654334726
li2880,0.1,0.53,0.0,0.0,3.6143165654334726
li2880,0.1,0.55,0.0,0.0,3.6143165654334726
li2880,0.1,0.5700000000000001,0.0,0.0,3.6143165654334726
li2880,0.1,0.59,0.0,0.0,3.6143165654334726
li2880,0.1,0.61,0.0,0.0,3.6143165654334726
li2880,0.1,0.63,0.0,0.0,3.6143165654334726
li2880,0.1,0.65,0.0,0.0,3.6143165654334726
li2880,0.1,0.67,0.0,0.0,3.6143165654334726
li2880,0.1,0.6900000000000001,0.0,0.0,3.6143165654334726
li2880,0.1,0.71,0.0,0.0,3.6143165654334726
li2880,0.1,0.73,0.0,0.0,3.6143165654334726
li2880,0.1,0.75,0.0,0.0,3.6143165654334726
li2880,0.1,0.77,0.0,0.0,3.6143165654334726
li2880,0.1,0.79,0.0,0.0,3.6143165654334726
li2880,0.1,0.81,0.0,0.0,3.6143165654334726
li2880,0.1,0.8300000000000001,0.0,0.0,3.6143165654334726
li2880,0.1,0.85,0.0,0.0,3.6143165654334726
li2880,0.1,0.87,0.0,0.0,3.6143165654334726
