mixture,central_cation,system,x_NaCl,n_cation_Cl,probability,block_sd,cutoff_A
MgCl2-NaCl,Mg,cl3488,0.8021978021978022,0,0.3310192087155963,0.0007532693983405,3.47181263
MgCl2-NaCl,Mg,cl3488,0.8021978021978022,1,0.5938302752293578,0.0015344280029071,3.47181263
MgCl2-NaCl,Mg,cl3488,0.8021978021978022,2,0.0735378440366972,0.0008612705749896,3.47181263
MgCl2-NaCl,Mg,cl3488,0.8021978021978022,3+,0.0016126720183486,0.0001192898292509,3.47181263
MgCl2-NaCl,Mg,cl3424,0.8494623655913979,0,0.4545852803738318,0.0004510056490137,3.40450655
MgCl2-NaCl,Mg,cl3424,0.8494623655913979,1,0.5056980140186916,0.0011836898859496,3.40450655
MgCl2-NaCl,Mg,cl3424,0.8494623655913979,2,0.0392479556074766,0.0007287625730364,3.40450655
MgCl2-NaCl,Mg,cl3424,0.8494623655913979,3+,0.00046875,5.173186210256527e-05,3.40450655
MgCl2-NaCl,Mg,cl3360,0.8947368421052632,0,0.5895565476190476,0.0010592635698993,3.46782959
MgCl2-NaCl,Mg,cl3360,0.8947368421052632,1,0.3906934523809524,0.0018541526336127,3.46782959
MgCl2-NaCl,Mg,cl3360,0.8947368421052632,2,0.0195729166666666,0.0008184625269933,3.46782959
MgCl2-NaCl,Mg,cl3360,0.8947368421052632,3+,0.0001770833333333,3.466016279420272e-05,3.46782959
MgCl2-NaCl,Mg,cl3296,0.9381443298969072,0,0.7437105582524272,0.0006390608563246,3.43223406
MgCl2-NaCl,Mg,cl3296,0.9381443298969072,1,0.2498877427184466,0.001295477734309,3.43223406
MgCl2-NaCl,Mg,cl3296,0.9381443298969072,2,0.0063819781553398,0.0006625575578191,3.43223406
MgCl2-NaCl,Mg,cl3296,0.9381443298969072,3+,1.972087378640777e-05,1.6617796040812075e-05,3.43223406
MgCl2-NaCl,Mg,cl3264,0.9591836734693876,0,0.8244653799019608,0.0005970679464066,3.49964099
MgCl2-NaCl,Mg,cl3264,0.9591836734693876,1,0.1728170955882353,0.0008228862398653,3.49964099
MgCl2-NaCl,Mg,cl3264,0.9591836734693876,2,0.0027113970588235,0.0002794862483229,3.49964099
MgCl2-NaCl,Mg,cl3264,0.9591836734693876,3+,6.127450980392157e-06,6.4082416248014364e-06,3.49964099
MgCl2-NaCl,Mg,cl3232,0.9797979797979798,0,0.9107224628712872,0.0002123576517188,3.49684943
MgCl2-NaCl,Mg,cl3232,0.9797979797979798,1,0.08859375,0.0002790341584648,3.49684943
MgCl2-NaCl,Mg,cl3232,0.9797979797979798,2,0.0006837871287128,0.0001185271120629,3.49684943
MgCl2-NaCl,Mg,cl3232,0.9797979797979798,3+,0.0,0.0,3.49684943
