composition_key,n_para,n_water,n_ethanol,x_para,x_water,x_ethanol,S0_NN,S0_OO,S0_CC,S0_NO,S0_NC,S0_OC,S0_NN_split1,S0_OO_split1,S0_CC_split1,S0_NO_split1,S0_NC_split1,S0_OC_split1,S0_NN_split2,S0_OO_split2,S0_CC_split2,S0_NO_split2,S0_NC_split2,S0_OC_split2,S0_NN_split3,S0_OO_split3,S0_CC_split3,S0_NO_split3,S0_NC_split3,S0_OC_split3
P00088_W02496_E07504,88,2496,7504,0.008723,0.247423,0.743854,0.8506524056608112,1.2630735807657025,0.10265096180048283,-0.12448401883893963,-0.15352204182222387,-0.16439947764374788,0.8328037664901043,1.2155515597260786,0.0994082420675856,-0.1171821647288649,-0.1503297044325062,-0.1546544371935619,0.8347025120726826,1.3084132554366854,0.1042777646707414,-0.1100548300905746,-0.1487194982415339,-0.1786918267137565,0.8844509384196468,1.2652559271343438,0.1042668786631215,-0.1462150616973794,-0.1615169227926315,-0.1598521690239253
P00920_W00496_E09504,920,496,9504,0.084249,0.045421,0.87033,0.6952433150422236,0.9694863066625644,0.29249879036457554,-0.0588318001116415,-0.39941264315270825,-0.022652160138882663,0.7148525163978946,0.9530288383491868,0.3032687396940318,-0.0463040990541238,-0.4131334346368584,-0.0321433329492334,0.6966056773390057,0.9755980948781408,0.2918770546405528,-0.0830299313038671,-0.3989433664326404,-0.0076106561476779,0.6742717513897705,0.9798319867603656,0.2823505767591421,-0.0471613699769336,-0.3861611283886259,-0.0282024913197367
P00088_W01504_E08496,88,1504,8496,0.008723,0.149088,0.842189,0.8950156145447005,1.1062439067864245,0.08746337442889444,-0.07847018143236537,-0.16687822950936063,-0.09777100997046993,0.8807920818435897,1.0955166094203996,0.0833772144336964,-0.1128008703282193,-0.1576723075982825,-0.0862976335342563,0.8740953000767595,1.138556555686138,0.0889199934537438,-0.0684224244669913,-0.165816684706714,-0.1030328398656063,0.9301594617137524,1.084658555252736,0.0900929153992431,-0.0541872495018855,-0.1771456962230854,-0.1039825565115472
P01680_W06496_E03504,1680,6496,3504,0.143836,0.556164,0.3,0.7745389801220636,3.488053637261354,0.7834829801377502,-1.1268090133166362,-0.5431391450320092,0.16352142413271745,0.692155642243281,3.2838328645036743,0.7491168182541855,-0.9687005425232496,-0.4944281009017703,0.0247038989623548,0.8101874941050332,3.5820036150434515,0.7816589950955556,-1.1227702971164386,-0.5733477638291037,0.188667379631393,0.8212738040178763,3.5983244322369377,0.8196731270635094,-1.2889562003102204,-0.5616415703651536,0.2771929938044046
P00088_W03504_E06496,88,3504,6496,0.008723,0.347343,0.643933,0.8212450411572885,1.568867618549876,0.13485604929147932,-0.2016905721723221,-0.14940078153049094,-0.2596712915363455,0.910725049383274,1.563500805900753,0.1436250809661957,-0.1896209658679644,-0.1775162859762619,-0.2592628984125346,0.7927890351112352,1.535418266397785,0.1335643532277577,-0.1967337940639224,-0.1378520387797639,-0.2594822739718567,0.7602210389773563,1.6076837833510895,0.1273787136804846,-0.2187169565850795,-0.132834019835447,-0.2602687022246452
P00088_W07504_E02496,88,7504,2496,0.008723,0.743854,0.247423,1.114870696469392,3.186975115108664,0.665037215117147,-0.936586041101856,0.0610550271133165,-1.2354829239424363,1.1548510058061896,3.0644279059674435,0.6513053765907664,-1.024655822173392,0.0504353773877139,-1.1800228443221967,1.1001480289076195,3.09687327600865,0.658984709856894,-0.9548717972303185,0.1028528941908028,-1.2349324260554388,1.0896130546943668,3.3996241633498983,0.6848215589037804,-0.8302305039018578,0.0298768097614328,-1.2914935014496731
P00088_W05504_E04496,88,5504,4496,0.008723,0.545599,0.445678,1.0597855864127006,2.5637743814737104,0.2961052022956317,-0.5359027979010585,-0.12487939323594095,-0.6594961308822384,1.154037736695135,2.589255281817878,0.2926529948745393,-0.6386778161171698,-0.130125398875818,-0.6407434641359506,1.037557611725823,2.634141680039551,0.3086214487798294,-0.5348634405154463,-0.1161148439321752,-0.6934160462560881,0.9877614108171436,2.4679261825637027,0.2870411632325264,-0.4341671370705595,-0.1283979368998297,-0.6443288822546765
P00088_W04496_E05504,88,4496,5504,0.008723,0.445678,0.545599,0.8929363273201423,1.785130612457569,0.1905263142957462,-0.21617432296572303,-0.16136063834333256,-0.3947395158013096,0.8391855019235932,1.8091556744072144,0.1924257437651669,-0.1877625960210369,-0.1545728118819759,-0.4135537711701621,0.9552364874056104,1.7146686656816017,0.1868088286843449,-0.2217897955091079,-0.1704026561137896,-0.3747758399898093,0.8843869926312232,1.8315674972838911,0.1923443704377268,-0.2389705773670243,-0.1591064470342321,-0.3958889362439575
P01680_W05000_E05000,1680,5000,5000,0.143836,0.428082,0.428082,0.6153072882891186,1.9467245699463807,0.5645287210876849,-0.5660431246554251,-0.4745109927437519,0.1066861109241845,0.5806226215385757,1.9022897456710104,0.587222343957024,-0.5073990523126439,-0.4660951252833388,0.083181570995495,0.6128706198915824,1.958744032618412,0.539795336374491,-0.58432718650988,-0.4596694905149294,0.1092817024951068,0.6524286234371978,1.97913993154972,0.5665684829315397,-0.6064031351437511,-0.4977683624329876,0.1275950592819517
P00088_W06496_E03504,88,6496,3504,0.008723,0.643933,0.347343,1.0127475796548746,2.540836139064731,0.39274137638488477,-0.6521426713866759,-0.06273364707639303,-0.7978170543592583,1.0566477881263947,2.435014342316302,0.3663131228473421,-0.685863650279349,-0.0328111090950028,-0.7543562825644798,0.9888679864252292,2.5832686857042173,0.4208349569287232,-0.624119055994612,-0.0902366311464635,-0.8295845973110682,0.992726964413,2.6042253891736733,0.391076049378589,-0.6464453078860667,-0.0651532009877128,-0.8095102832022268
P00520_W00496_E09504,520,496,9504,0.04943,0.047148,0.903422,0.7626961570593203,0.9402427308042828,0.19816353666716166,-0.03511882522975617,-0.33245523370509117,-0.0314893619799781,0.73888197472649,0.9503119366406964,0.1890717116993036,-0.0578835136040394,-0.3160450536380804,-0.0208053371550612,0.7771103243276036,0.9334443629067682,0.206490952782219,-0.0340389099077912,-0.3437409548955361,-0.0313902053626933,0.7720961721238672,0.9369718928653836,0.1989279455199624,-0.0134340521774379,-0.3375796925816571,-0.0422725434221798
P01904_W01504_E08496,1904,1504,8496,0.159946,0.126344,0.71371,0.5684392364018721,1.0870875283390966,0.4706331160588333,-0.1790751339748143,-0.45773890642608167,0.055651585938308934,0.551691813800093,1.1034652797121562,0.4689340806108534,-0.1807917010470277,-0.4510530895363199,0.0697553736762044,0.5532997329080304,1.1192548124425528,0.4394362196999709,-0.1866421388189764,-0.4356542326588403,0.0486629394325761,0.6003261624974928,1.0385424928625808,0.5035290478656756,-0.1697915620584388,-0.4865093970830848,0.0485364447061463
P00104_W00752_E09248,104,752,9248,0.010293,0.074426,0.915281,0.8006037904649123,1.0585537182709508,0.08129745337571175,-0.058344861779761566,-0.15959268386474082,-0.05980819644298733,0.7938532302002357,1.03233439899707,0.0800380200636776,-0.0766056239856127,-0.1563897945831316,-0.0544757482551629,0.7829411745977297,1.0281134796114608,0.0814047220944044,-0.0231696223343035,-0.1610763559450488,-0.0603818803301407,0.825016966596771,1.1152132762043216,0.0824496179690532,-0.0752593390193685,-0.1613119010660421,-0.0645669607436584
P01904_W00496_E09504,1904,496,9504,0.159946,0.041667,0.798387,0.6296774798895636,0.8550723156059439,0.5168537957655017,-0.0875832976903899,-0.5203996771608425,0.03291487097654483,0.6736557026224048,0.8420174601155034,0.5410967532453435,-0.1035735830270647,-0.5446427536599618,0.0377898839102879,0.6231813106975456,0.8239256091523318,0.5276798652029059,-0.0828421356112457,-0.5306175377983781,0.0391962553584113,0.5921954263487401,0.8992738775499963,0.4817847688482557,-0.0763341744328593,-0.4859387400241873,0.0217584736609353
P00816_W06496_E03504,816,6496,3504,0.075444,0.600592,0.323964,1.1224318450245871,4.271862092294991,0.5911522504823207,-1.4549802433510026,-0.4786657867746913,-0.15942259003537007,1.168203973659305,4.47731085434954,0.5903884881761526,-1.5790863054827555,-0.4727039174259734,-0.1360008275822252,1.1621240422688437,4.329943618287286,0.6376340789647238,-1.4135988090447973,-0.534230214346699,-0.1941771911209764,1.0369675191456125,4.008331804248146,0.5454341843060856,-1.3722556155254553,-0.4290632285514014,-0.1480897514029086
P00728_W05504_E04496,728,5504,4496,0.06786,0.51305,0.41909,0.9292670288213548,2.4005708753359993,0.47449067799722194,-0.7637437499010167,-0.45432460183628254,-0.13437563871972447,0.8694202707967233,2.288013053048547,0.440686230927897,-0.7291836515986146,-0.4174106924315614,-0.1610276153872106,0.8919859801901586,2.4264587045764836,0.4333964171659286,-0.7163143287346468,-0.4026689291231591,-0.1850592229601178,1.0263948354771826,2.487240868382967,0.5493893858978401,-0.8457332693697887,-0.5428941839541271,-0.057040077811845
P00240_W05504_E04496,240,5504,4496,0.023438,0.5375,0.439063,0.9553964096413988,3.095548229865241,0.32966964223479495,-0.7232375334351739,-0.20953837535888753,-0.5677069208980979,0.9733396803499974,3.1024229353016035,0.3152180584763623,-0.8248050222182823,-0.1824444262190017,-0.5397842677722088,0.9058614530560156,3.0950213986322517,0.3448273974880169,-0.6281884968305679,-0.1947185050438374,-0.6549505297614193,0.9869880955181836,3.089200355661869,0.3289634707400056,-0.7167190812566716,-0.2514521948138235,-0.5083859651606655
