tag,x_MgCl2,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Mg,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_MgMg,S0_MgCl,S0_MgNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ
cl3488,0.1978021978021978,0,0.015,0.1224744871391589,576,3488,2336,58.41759332503768,259,1,2,973,193.50041523479135,0.5459308968238735,4,4,0.5,1,lowest-cost,,,8.446564841479468,5.733255474337093,0.2399489939338429,0.0692381600319048,-0.1536945857342005,0.0721582551720692,0.0194111609010239,0.1763576327992582,0.1175630548159247,-3.299185347049398e-17
cl3488,0.1978021978021978,1,0.015,0.1224744871391589,576,3488,2336,58.43182262765156,259,1,2,221,362.65974467943545,0.7839681543595647,4,4,0.5,1,lowest-cost,,,8.443479671334323,4.352645166127272,0.2358452986121356,0.0706803419644404,-0.1478568271864643,0.0725310450933155,0.0184344199376628,0.1693664726019745,0.1167287906020149,-1.2014851397926797e-17
cl3488,0.1978021978021978,2,0.015,0.1224744871391589,576,3488,2336,58.40393221215227,259,1,2,97,346.9468823709755,0.7600770450037407,4,4,0.5,1,lowest-cost,,,8.449528586011034,4.868807263783495,0.2556269199228817,0.0722972474523562,-0.1655267204204497,0.0729449348579193,0.017334378048952,0.1855707306499902,0.1179790168007666,1.0217804460832324e-17
cl3488,0.1978021978021978,3,0.015,0.1224744871391589,576,3488,2336,58.41925802520098,259,1,2,84,346.5821735503662,0.7729110018425566,4,4,0.75,1,lowest-cost,,,8.446203807339968,9.251670039265289,0.218154473020069,0.0643147021620671,-0.1380660540638502,0.0718858609172865,0.0239679292509819,0.1664046373465043,0.1193693675158189,7.627481608608267e-18
cl3488,0.1978021978021978,4,0.015,0.1224744871391589,576,3488,2336,58.41565966040565,259,1,2,178,348.6468967874194,0.7601880676563442,4,4,0.75,1,lowest-cost,,,8.446984239949463,6.236649631645692,0.1813921367221857,0.0569981134440244,-0.1104968551651474,0.0699581865362267,0.0288787185993046,0.145025636427788,0.1183401153678831,3.990513819208369e-18
cl3552,0.247191011235955,0,0.015,0.1224744871391589,704,3552,2144,58.44124142160074,259,1,2,167,170.93632798684587,0.5053048401194253,4,4,0.3,1,lowest-cost,,,8.638541476868383,8.356533585609945,0.2172853762371541,0.0759879720451886,-0.1512133414173085,0.0805916394506355,0.016646227615175,0.1947241388642872,0.1277134920465834,-4.0074254365996865e-19
cl3552,0.247191011235955,1,0.015,0.1224744871391589,704,3552,2144,58.43662125336027,259,1,2,142,315.89865201566886,0.717959331654695,4,4,0.5,1,lowest-cost,,,8.639565979217823,6.898802154658636,0.2140323324677651,0.0755351959568973,-0.1480679713702973,0.0800710320171412,0.0164950400616802,0.1909247856708386,0.1266474017939087,5.240094125313816e-18
cl3552,0.247191011235955,2,0.015,0.1224744871391589,704,3552,2144,58.43151340126165,259,1,2,89,328.4081051232906,0.7415247905612004,4,4,1.0,1,lowest-cost,,,8.640698859072666,7.996625391674986,0.2208454816786116,0.0789060120817134,-0.1515374923672616,0.0813856599090121,0.0143240164829432,0.1921066332321054,0.1269838369273186,-1.3583197403162156e-18
cl3552,0.247191011235955,3,0.015,0.1224744871391589,704,3552,2144,58.443616794171106,259,1,2,96,343.828934665824,0.7648446990125796,4,4,1.0,1,lowest-cost,,,8.638014827070785,10.297058516122362,0.1985450962304149,0.0715809741364445,-0.1354084263545507,0.0799054278559676,0.0208136249256452,0.1819749033480147,0.1284842482457342,-1.086480273780276e-17
cl3552,0.247191011235955,4,0.015,0.1224744871391589,704,3552,2144,58.45202274873874,259,1,2,178,297.4827004014146,0.7040464008168927,4,4,0.75,1,lowest-cost,,,8.636151551528252,7.678673387953583,0.2184854294490707,0.0773417646230224,-0.1508461498079295,0.0806678373687424,0.0151927893169226,0.192432547309554,0.1266766608494634,2.240852604157752e-17
cl3616,0.2988505747126437,0,0.015,0.1224744871391589,832,3616,1952,58.48056214748911,259,1,2,71,130.8003212156155,0.4328720819781951,4,4,1.0,1,lowest-cost,,,8.822341071452955,7.877152428132016,0.1638263614734813,0.066241862978336,-0.1237536577867814,0.0798110611055421,0.0221332377718605,0.1917127158313988,0.1298598459278129,-1.3498284225449217e-18
cl3616,0.2988505747126437,1,0.015,0.1224744871391589,832,3616,1952,58.48323235876517,259,1,2,100,281.46706062739935,0.6714520334797631,4,4,0.75,1,lowest-cost,,,8.8217368663305,8.123614580774099,0.1583618027743341,0.0659403090970165,-0.117028876463407,0.0808438697980986,0.0239326892404075,0.1853811447621647,0.131810505378247,9.139926871821838e-18
cl3616,0.2988505747126437,2,0.015,0.1224744871391589,832,3616,1952,58.49062485114025,259,1,2,30,285.020657677748,0.6763685443053258,4,4,0.75,1,lowest-cost,,,8.820064481344158,6.5219860989369804,0.1613551599212089,0.0667469643199563,-0.1198394793604433,0.0823606375201623,0.0249438170445449,0.1904272157154103,0.1347530690206038,2.641914088059034e-18
cl3616,0.2988505747126437,3,0.015,0.1224744871391589,832,3616,1952,58.478142271950425,259,1,2,125,280.29210259283326,0.6718383832613959,4,4,0.75,1,lowest-cost,,,8.822888691145923,9.160553572120778,0.1447177893560256,0.0595180725101592,-0.1079545353211753,0.0770251826401768,0.0271209378990235,0.1778719178590795,0.128368681673269,-9.634270650065866e-18
cl3616,0.2988505747126437,4,0.015,0.1224744871391589,832,3616,1952,58.46914537010029,259,1,2,131,302.24061742889154,0.7074230437050572,4,4,0.3,1,lowest-cost,,,8.824925193901176,7.276698124589784,0.1659136124938661,0.0661293416098897,-0.1266321811185517,0.0777357419539473,0.0194555451563323,0.1918268005752015,0.1255629479147693,6.715602344078506e-19
cl3680,0.3529411764705882,0,0.015,0.1224744871391589,960,3680,1760,58.521455434859696,259,1,2,134,123.05655381703733,0.4200298052640855,4,4,0.75,1,lowest-cost,,,9.001296650663555,6.877226027525935,0.1523699258933369,0.0708989761705679,-0.1225455461411311,0.0850389724309617,0.0182414227449511,0.2073888215584166,0.1351576867199719,-1.1243948156871005e-17
cl3680,0.3529411764705882,1,0.015,0.1224744871391589,960,3680,1760,58.49937141812505,259,1,2,108,251.19576405596337,0.6309291294788569,4,4,1.0,1,lowest-cost,,,9.006394232242885,9.26040744485394,0.1344520565454312,0.0653084791470803,-0.1041629444427074,0.0832692619798496,0.0239401370277868,0.1884762465832963,0.134967019280203,2.9116352990436474e-18
cl3680,0.3529411764705882,2,0.015,0.1224744871391589,960,3680,1760,58.5405048204268,259,1,2,110,267.1853519454718,0.654876351990662,4,4,0.5,1,lowest-cost,,,8.996903404798207,5.037246877912424,0.1538320128772783,0.0727878939467671,-0.1219738211509803,0.086556149172212,0.0176451402232899,0.2056821046790222,0.1366475303140216,5.52755088379552e-18
cl3680,0.3529411764705882,3,0.015,0.1224744871391589,960,3680,1760,58.52168592150224,259,1,2,173,264.95965147338694,0.658424305103266,4,4,0.5,1,lowest-cost,,,9.001243473540372,5.464761015736011,0.1520275702029201,0.0709002025375541,-0.1220380799488547,0.08487167120769,0.0179976941116991,0.2062868132942642,0.1347200998978739,1.0291941126990377e-17
cl3680,0.3529411764705882,4,0.015,0.1224744871391589,960,3680,1760,58.522728155971585,259,1,2,163,290.2420909548016,0.6965199101436674,4,4,0.75,1,lowest-cost,,,9.001003019154306,7.327955832989736,0.1538833507607723,0.0702699826269585,-0.1256905459835149,0.0827493152330207,0.0158596689439965,0.2085902838890809,0.1308573890041104,-1.7252466288977512e-17
cl3744,0.4096385542168674,0,0.015,0.1224744871391589,1088,3744,1568,58.56326814538606,259,1,2,251,103.0048711592914,0.3815081127680538,4,4,0.3,1,lowest-cost,,,9.175806953608284,7.712684526755161,0.1412781728402715,0.0761011953448768,-0.1177731676323373,0.0934078846159052,0.0175537048790581,0.2233330998546915,0.1465955788167747,5.290171568742148e-18
