mixture,central_cation,system,x_NaCl,criterion,cutoff_A,mean_cation_degree,n_cation_Cl,P_MD,P_MD_block_sd,P_random,delta_P,delta_P_block_sd
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,M-Cl,3.36046144,2.2468096804511277,2,0.7332772556390977,0.0011235815286783372,0.7111502313542313,0.02212702428486646,0.0002856032785655246
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,M-Cl,3.36046144,2.2468096804511277,3+,0.23669454887218044,0.0008896956294575831,0.24464702938755997,-0.007952480515379529,0.00010033188514841372
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,union,4.229345799932314,2.952390507518797,0,0.0,0.0,0.0001232068575625707,-0.0001232068575625707,5.501264535422975e-07
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,union,4.229345799932314,2.952390507518797,1,0.006631109022556391,6.518671921903811e-05,0.013324092474120213,-0.0066929834515638215,4.799877044048353e-05
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,union,4.229345799932314,2.952390507518797,2,0.34935338345864664,0.001126273366431937,0.3388630953204416,0.010490288138205017,0.0001650180146775925
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,union,4.229345799932314,2.952390507518797,3+,0.644015507518797,0.0011539740295907974,0.6476896053478757,-0.003674097829078682,0.00014003026870516424
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,M-Cl,3.37632537,2.2976742424242422,0,3.172348484848485e-05,9.558063086262475e-06,0.003728443684022124,-0.003696720199173639,1.3276009622530447e-05
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,M-Cl,3.37632537,2.2976742424242422,1,0.053781723484848484,0.00021004537158397934,0.09928928778727238,-0.04550756430242389,0.0002447809554282506
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,M-Cl,3.37632537,2.2976742424242422,2,0.7212935606060606,0.0006953532455870099,0.6440321880727929,0.0772613725332677,0.0005799852590040913
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,M-Cl,3.37632537,2.2976742424242422,3+,0.22489299242424243,0.0007659255906948327,0.25295008045591255,-0.02805708803167012,0.00034783119947142115
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,union,4.229345799932314,3.036857481060606,0,8.522727272727273e-06,6.173487126138873e-06,0.0012643407240629275,-0.0012558179967902003,7.477542565875946e-06
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,union,4.229345799932314,3.036857481060606,1,0.01721496212121212,0.00018422303068799545,0.039397483634109165,-0.022182521512897044,9.585528188921241e-05
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,union,4.229345799932314,3.036857481060606,2,0.3662220643939394,0.0011833704525840455,0.3291675535874302,0.03705451080650918,0.00012505134959354874
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,union,4.229345799932314,3.036857481060606,3+,0.6165544507575758,0.0013203326847161928,0.6301706220543978,-0.013616171296822022,0.00016089419221964338
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,M-Cl,3.39496007,2.353963740458015,0,5.820610687022901e-05,2.144294375404984e-05,0.009047316365695904,-0.008989110258825674,3.5459097314999206e-05
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,M-Cl,3.39496007,2.353963740458015,1,0.07882490458015268,0.0005692860567876455,0.1438758654024417,-0.06505096082228903,0.00039547386303520973
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,M-Cl,3.39496007,2.353963740458015,2,0.706924141221374,0.0007483362741782016,0.5888700143297596,0.11805412689161443,0.0007267357921077241
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,M-Cl,3.39496007,2.353963740458015,3+,0.21419274809160305,0.0010469034763544826,0.2582068039021028,-0.044014055810499775,0.00033735062349125324
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,union,4.229345799932314,3.1250300572519083,0,1.5267175572519083e-05,1.466643716501851e-05,0.003326134483491193,-0.003310867307918674,1.0857890642257585e-05
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,union,4.229345799932314,3.1250300572519083,1,0.029602576335877862,0.0007112251956429214,0.0612945456154157,-0.03169196927953784,0.0005597127403169482
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,union,4.229345799932314,3.1250300572519083,2,0.3807013358778626,0.0007532447371613464,0.3230562769973007,0.05764505888056187,0.0003544685888443193
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,union,4.229345799932314,3.1250300572519083,3+,0.589680820610687,0.0012555523845544743,0.6123230429037924,-0.022642222293105307,0.0003903407773508122
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,M-Cl,3.35308866,2.4128982558139533,0,0.0003929263565891473,7.42402376332479e-05,0.02617784146861563,-0.02578491511202648,7.263589668139183e-05
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,M-Cl,3.35308866,2.4128982558139533,1,0.1432044573643411,0.000912579992118613,0.22340640309623166,-0.08020194573189057,0.0007755660129040517
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,M-Cl,3.35308866,2.4128982558139533,2,0.686953003875969,0.0013354685473312524,0.5211909526789742,0.16576205119699483,0.0012637849345388805
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,M-Cl,3.35308866,2.4128982558139533,3+,0.16944961240310077,0.00047834761399772425,0.22922480275617868,-0.059775190353077906,0.0005889204545029646
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,union,4.229345799932314,3.2900242248062015,0,0.00015116279069767442,5.9821048587393605e-05,0.009634852086229684,-0.00948368929553201,6.666730483128316e-05
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,union,4.229345799932314,3.2900242248062015,1,0.06140019379844961,0.0004504609064124625,0.09949532400448372,-0.038095130206034104,0.000538005714773296
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,union,4.229345799932314,3.2900242248062015,2,0.41100048449612403,0.0010883208189951593,0.325486490645614,0.08551399385051,0.0007887275278589861
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,union,4.229345799932314,3.2900242248062015,3+,0.5274481589147287,0.000997758571317026,0.5653833332636725,-0.03793517434894378,0.00036473879894325967
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,M-Cl,3.35967207,2.503941929133858,0,0.0012209645669291338,0.0001635847054698627,0.048183242087897836,-0.0469622775209687,0.00018588590860972636
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,M-Cl,3.35967207,2.503941929133858,1,0.21214124015748032,0.0005346575691493446,0.2780326746523594,-0.06589143449487911,0.0005756972987114346
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,M-Cl,3.35967207,2.503941929133858,2,0.6463941929133858,0.0011184403472744128,0.46531433793724736,0.1810798549761385,0.0009673365295882678
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,M-Cl,3.35967207,2.503941929133858,3+,0.14024360236220473,0.0008767632202931064,0.20846974532249551,-0.06822614296029078,0.0007686402486857762
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,union,4.229345799932314,3.4579443897637794,0,0.0005556102362204724,0.00010828728795903733,0.01834322978870379,-0.017787619552483317,0.00013135888995126078
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,union,4.229345799932314,3.4579443897637794,1,0.10206988188976378,0.0004300664451663759,0.13366437552663316,-0.03159449363686938,0.00032869573365364976
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,union,4.229345799932314,3.4579443897637794,2,0.43486663385826774,0.0006668066467169936,0.3329748749924098,0.10189175886585794,0.000520594981867677
