mixture,central_cation,system,x_NaCl,r_A,alpha_XNa,alpha_block_sd,random_reference
LiCl-NaCl,Li,li2880,0.1,10.75,-0.0011044936928721327,0.003801724427173845,0.0
LiCl-NaCl,Li,li2880,0.1,10.850000000000001,-0.002958069015669862,0.0020617151190387845,0.0
LiCl-NaCl,Li,li2880,0.1,10.95,-0.005868910491664714,0.00514298943229697,0.0
LiCl-NaCl,Li,li2880,0.1,11.05,-0.012815474726895815,0.00324230486108704,0.0
LiCl-NaCl,Li,li2880,0.1,11.150000000000002,-0.013893430376384464,0.003845678480130228,0.0
LiCl-NaCl,Li,li2880,0.1,11.25,-0.017106390278970762,0.001829096164248312,0.0
LiCl-NaCl,Li,li2880,0.1,11.350000000000001,-0.015874445332789255,0.0039521115760470715,0.0
LiCl-NaCl,Li,li2880,0.1,11.45,-0.020437299379831186,0.006307904340974978,0.0
LiCl-NaCl,Li,li2880,0.1,11.55,-0.0159807239206613,0.005283054704241749,0.0
LiCl-NaCl,Li,li2880,0.1,11.650000000000002,-0.016747672986239914,0.0034853324748105293,0.0
LiCl-NaCl,Li,li2880,0.1,11.75,-0.01615958549098706,0.004116989797007072,0.0
LiCl-NaCl,Li,li2880,0.1,11.850000000000001,-0.012484034207518091,0.0020072629291080857,0.0
LiCl-NaCl,Li,li2880,0.1,11.95,-0.011518483815470937,0.002490682916808016,0.0
LiCl-NaCl,Li,li2720,0.15,0.05,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.15000000000000002,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.25,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.35000000000000003,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.45,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.55,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.75,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.8500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,0.95,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.05,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.1500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.25,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.35,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.4500000000000002,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.55,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.6500000000000001,1.0,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.75,nan,nan,0.0
LiCl-NaCl,Li,li2720,0.15,1.85,1.0,0.0,0.0
LiCl-NaCl,Li,li2720,0.15,1.9500000000000002,1.0,0.0,0.0
LiCl-NaCl,Li,li2720,0.15,2.05,0.951353406326034,0.07487050494117686,0.0
LiCl-NaCl,Li,li2720,0.15,2.1500000000000004,0.8818582725060827,0.037694693864374594,0.0
LiCl-NaCl,Li,li2720,0.15,2.25,0.9008079425255078,0.015503210274474396,0.0
LiCl-NaCl,Li,li2720,0.15,2.3500000000000005,0.8635484015804598,0.019983882364018924,0.0
LiCl-NaCl,Li,li2720,0.15,2.45,0.8316866990926948,0.014113078060549324,0.0
LiCl-NaCl,Li,li2720,0.15,2.55,0.786707865615795,0.008114551034409933,0.0
LiCl-NaCl,Li,li2720,0.15,2.6500000000000004,0.7163907088217178,0.00781216584605149,0.0
LiCl-NaCl,Li,li2720,0.15,2.75,0.6519728762347816,0.008371746730575535,0.0
LiCl-NaCl,Li,li2720,0.15,2.8500000000000005,0.581488370929468,0.007045169851088084,0.0
LiCl-NaCl,Li,li2720,0.15,2.95,0.4994093695020847,0.009954403096725614,0.0
LiCl-NaCl,Li,li2720,0.15,3.05,0.4191683575049696,0.005694377661168841,0.0
LiCl-NaCl,Li,li2720,0.15,3.1500000000000004,0.3489043806474853,0.007438141118165855,0.0
LiCl-NaCl,Li,li2720,0.15,3.25,0.27039266405610596,0.016081489748139034,0.0
LiCl-NaCl,Li,li2720,0.15,3.3500000000000005,0.2032134617782767,0.007980833533125427,0.0
LiCl-NaCl,Li,li2720,0.15,3.45,0.14414259855034628,0.010189670609339011,0.0
LiCl-NaCl,Li,li2720,0.15,3.55,0.0890436281648086,0.003433747019770927,0.0
LiCl-NaCl,Li,li2720,0.15,3.6500000000000004,0.032624648553663205,0.0029205402775424496,0.0
LiCl-NaCl,Li,li2720,0.15,3.75,-0.0017821214557203202,0.007204436494510358,0.0
LiCl-NaCl,Li,li2720,0.15,3.8500000000000005,-0.03219807673176622,0.009776582230065597,0.0
LiCl-NaCl,Li,li2720,0.15,3.95,-0.049159719510539546,0.008836856462857673,0.0
LiCl-NaCl,Li,li2720,0.15,4.050000000000001,-0.06826039983899834,0.004057328367561907,0.0
LiCl-NaCl,Li,li2720,0.15,4.15,-0.08241313638918135,0.006793391266970469,0.0
LiCl-NaCl,Li,li2720,0.15,4.25,-0.08527980993898177,0.005832925648676617,0.0
LiCl-NaCl,Li,li2720,0.15,4.35,-0.09574489358255334,0.007261210541178507,0.0
LiCl-NaCl,Li,li2720,0.15,4.45,-0.11610924795367183,0.008147180511845865,0.0
LiCl-NaCl,Li,li2720,0.15,4.550000000000001,-0.13451047398938254,0.0029372467519393018,0.0
LiCl-NaCl,Li,li2720,0.15,4.65,-0.15394245606953794,0.007445128052124341,0.0
LiCl-NaCl,Li,li2720,0.15,4.75,-0.17012844156118767,0.005306911450959044,0.0
LiCl-NaCl,Li,li2720,0.15,4.8500000000000005,-0.19073860323302783,0.011917194732480542,0.0
LiCl-NaCl,Li,li2720,0.15,4.95,-0.19272268877888865,0.006075537813628753,0.0
LiCl-NaCl,Li,li2720,0.15,5.050000000000001,-0.18703678554037761,0.00754613874566061,0.0
LiCl-NaCl,Li,li2720,0.15,5.15,-0.17448692808034671,0.006295950260694166,0.0
LiCl-NaCl,Li,li2720,0.15,5.25,-0.1512650530773374,0.009777657457361774,0.0
LiCl-NaCl,Li,li2720,0.15,5.3500000000000005,-0.1187433646612619,0.008622947453457706,0.0
LiCl-NaCl,Li,li2720,0.15,5.45,-0.08522391165010657,0.00831264696299043,0.0
