tag,x_LiCl,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Li,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_LiLi,S0_LiCl,S0_LiNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ
li800,0.25,1,0.015,0.1224744871391589,800,3200,2400,57.43609372644328,238,1,2,56,400.4032244992535,0.9579876199679298,4,4,0.5,1,lowest-cost,,,7.688053699441586,8.65531283120003,0.7207120714387995,0.0969512636288395,-0.3041536321446339,0.0620866025731802,0.0157165952630049,0.1937511424053874,0.1241732051463604,-8.230722325916289e-18
li800,0.25,2,0.015,0.1224744871391589,800,3200,2400,57.43614109555411,238,1,2,2512,435.07634822119735,0.9228490430936276,4,4,1.0,1,lowest-cost,,,7.688044188630472,8.635790464933255,0.6829421356987154,0.0912510553065563,-0.2889291831964358,0.0592112018226815,0.015687385277655,0.184927573921072,0.118422403645363,5.013492163363145e-18
li800,0.25,3,0.015,0.1224744871391589,800,3200,2400,57.44943750022355,238,1,2,39,430.62100363200807,0.9603885777529892,4,4,0.3,1,lowest-cost,,,7.685375300054131,3.718806528624668,0.7740926594730064,0.1093320247585654,-0.3206768574736443,0.0635912210359809,0.0103059432410365,0.1970431481942227,0.1271824420719619,1.2563266439335324e-17
li800,0.25,4,0.015,0.1224744871391589,800,3200,2400,57.447844856741845,238,1,2,60,431.4466279952052,0.9590025822746971,4,4,0.75,1,lowest-cost,,,7.685694898145408,6.730159451794583,0.866061547126668,0.1132027870127642,-0.369305548258695,0.0621518914074526,0.0064091629146389,0.2206193215684739,0.1243037828149054,7.6859282030877e-18
li960,0.3,0,0.015,0.1224744871391589,960,3200,2240,57.25420214745463,238,1,2,5115,363.9866184296632,0.844353012745452,4,4,0.3,1,lowest-cost,,,7.724719190250452,6.821900345738458,0.6817877349819544,0.1045270835026448,-0.3214010826969677,0.0639420779864576,0.0079963620462993,0.2199638792454206,0.1278841559729152,4.786131844343919e-18
li960,0.3,1,0.015,0.1224744871391589,960,3200,2240,57.26249948522982,238,1,2,52,433.5134437116549,0.9244576753902972,4,4,1.0,1,lowest-cost,,,7.723040283032833,5.481527456439998,0.6434315868468714,0.1005728099231423,-0.3010173504374732,0.0644930592373293,0.011243590314353,0.2105007742260311,0.1289861184746588,-2.4029190893372477e-18
li960,0.3,2,0.015,0.1224744871391589,960,3200,2240,57.25724283441502,238,1,2,41,437.5978315595093,0.9403515727762476,4,4,0.75,1,lowest-cost,,,7.724103858287904,6.678756063262519,0.6529237240779312,0.1040258617307981,-0.3031042266086263,0.0653953195879981,0.0100614446575138,0.2104540210623349,0.1307906391759963,3.3276778898801547e-17
li960,0.3,3,0.015,0.1224744871391589,960,3200,2240,57.24482974468419,238,1,2,5983,441.0659838114507,0.9333985378357328,4,4,0.3,1,lowest-cost,,,7.726616360960059,7.547138513529724,0.3434164174576912,0.062552433289787,-0.1500543604186259,0.0577066414403496,0.0280224487332322,0.1317268702833567,0.1154132828806993,1.5613136845646148e-17
li960,0.3,4,0.015,0.1224744871391589,960,3200,2240,57.2517249088151,238,1,2,7465,424.14499710222253,0.9482094148276892,4,4,0.5,1,lowest-cost,,,7.725220559769528,8.784931321517227,0.3266989973013091,0.0652031079163967,-0.1359420778007223,0.0596330887561072,0.0285897198052389,0.1231662312799879,0.1192661775122145,-1.5307724252493367e-17
li1120,0.35,0,0.015,0.1224744871391589,1120,3200,2080,57.05083036784284,229,1,2,33,360.62862909905334,0.8505296004146178,4,4,1.0,1,lowest-cost,,,7.766060983874357,4.0617019512478105,0.6583492232728247,0.1088370553772606,-0.3481005028452932,0.0657761857765117,0.0017207530729887,0.2575702666586144,0.1315523715530234,-6.1742287628764326e-18
li1120,0.35,1,0.015,0.1224744871391589,1120,3200,2080,57.06264384926646,229,1,2,84,434.9298946705176,0.959631034247188,4,4,1.0,1,lowest-cost,,,7.763649437656635,10.27517285866982,0.6942685980408468,0.1110716731481528,-0.3716864157637784,0.0670754917846946,0.0016925826841734,0.2748426540024986,0.1341509835693894,1.6257347098577926e-18
li1120,0.35,2,0.015,0.1224744871391589,1120,3200,2080,57.0466435444103,229,1,2,989,437.0823665133302,0.944992226559008,4,4,0.75,1,lowest-cost,,,7.766915961152786,4.852713829966447,0.6191217471680621,0.1079367180170761,-0.3204321360319598,0.0653039657204754,0.0017957031816381,0.2373602002558577,0.1306079314409508,1.0230440907269797e-17
li1120,0.35,3,0.015,0.1224744871391589,1120,3200,2080,57.05813862954133,229,1,2,47,397.5713629915331,0.9471131831452496,4,4,0.75,1,lowest-cost,,,7.764568963893755,3.3946999887000286,0.6225956148149177,0.1038266570220164,-0.3280791612239209,0.0648587353726418,0.0042594231347784,0.246027451149091,0.1297174707452837,-1.6477244024650227e-17
li1120,0.35,4,0.015,0.1224744871391589,1120,3200,2080,57.03555431028065,229,1,2,61,419.0369963514139,0.9232096095443632,4,4,0.3,1,lowest-cost,,,7.769181214912021,4.76676195592532,0.613666897025045,0.1033674073798749,-0.3220969026693079,0.0645808210750424,0.0042517099786542,0.2416281065038585,0.1291616421500848,2.1858518390943322e-17
li1280,0.4,0,0.015,0.1224744871391589,1280,3200,1920,56.853441665641114,229,1,2,2213,390.28955438865114,0.8860448667603742,4,4,0.75,1,lowest-cost,,,7.8065403926951555,3.151893314023828,0.6329332712681454,0.1177794090712652,-0.3647352886594546,0.0682083354254582,-0.0081099024185996,0.2873352771319306,0.1364166708509165,6.054209124093464e-18
li1280,0.4,1,0.015,0.1224744871391589,1280,3200,1920,56.85829376629243,229,1,2,28,430.97620394549347,0.965700899839698,4,4,1.0,1,lowest-cost,,,7.805541137113304,2.832279302535991,0.6198853764506553,0.1174938265350721,-0.3544504126215506,0.0690364392174654,-0.0068076478557667,0.2806189144231746,0.1380728784349308,-3.282342658106227e-17
li1280,0.4,2,0.015,0.1224744871391589,1280,3200,1920,56.8444575323307,229,1,3,1571,429.59910718628225,0.9454006510382172,4,4,0.75,1,lowest-cost,,,7.808391173942464,10.945928681295811,0.4782352991242114,0.0938226831340465,-0.2693529235223144,0.0636258115638468,0.0055346695328219,0.2270709687613174,0.1272516231276937,1.0173496645207613e-17
li1280,0.4,3,0.015,0.1224744871391589,1280,3200,1920,56.85303737998885,229,1,2,1928,402.0156826755623,0.9665895662584916,4,3,1.0,1,lowest-cost,,,7.806623662069075,2.7472687792432793,0.6079841703833834,0.1126984750643611,-0.3509238906871316,0.068333370630101,-0.0037999174189523,0.2816224846183761,0.1366667412602022,2.2008205807784685e-17
li1280,0.4,4,0.015,0.1224744871391589,1280,3200,1920,56.85603297393006,229,1,2,703,440.0058579401217,0.9477884611375108,4,4,1.0,1,lowest-cost,,,7.806006704678069,7.668639008056953,0.620645956891918,0.1179470223866254,-0.3544863506228167,0.0687787427468309,-0.0075103654320989,0.2797410531882598,0.1375574854936619,-1.990127738359498e-18
li1440,0.45,0,0.015,0.1224744871391589,1440,3200,1760,56.64788697672505,229,1,2,108,348.4079745632861,0.8840032522829017,4,4,1.0,1,lowest-cost,,,7.849069581719768,5.554429201716445,0.5910414216138244,0.1159317519892761,-0.3782947387032259,0.0681713085374642,-0.0129420415848321,0.3247294206263353,0.1363426170749284,-1.7894905091562984e-17
li1440,0.45,1,0.015,0.1224744871391589,1440,3200,1760,56.64328844929929,229,1,2,111,414.33994780215494,0.9682639885212108,4,4,1.0,1,lowest-cost,,,7.850025429145386,35.691405562787466,0.417721226789042,0.0838338785587218,-0.2648014874554105,0.0656981126891654,0.0127567207420424,0.2567231163261514,0.1313962253783313,4.051096493603488e-18
li1440,0.45,2,0.015,0.1224744871391589,1440,3200,1760,56.65503236544105,229,1,2,49,399.54704373683023,0.965983812809145,4,4,0.75,1,lowest-cost,,,7.847584729911941,5.0428527041125815,0.613355633071067,0.1188872759132036,-0.3944934747561855,0.0691004129503676,-0.0143626094267506,0.3374662354024176,0.1382008259007353,-3.943515600721096e-18
li1440,0.45,3,0.015,0.1224744871391589,1440,3200,1760,56.654359529064344,229,1,2,299,402.86131161122967,0.9147285924761118,4,4,0.75,1,lowest-cost,,,7.847724529113531,4.179255914248818,0.5495983854381221,0.1086495518488799,-0.3506274186872329,0.0664412182330853,-0.0086878970079088,0.3054396754270003,0.1328824364661707,-2.3223818549241162e-17
li1440,0.45,4,0.015,0.1224744871391589,1440,3200,1760,56.63858202573732,229,1,2,24,426.7573760218273,0.9332649353790444,4,4,1.0,1,lowest-cost,,,7.851003904704285,3.978072826205724,0.5900662820143903,0.1174642862553241,-0.3753462229651171,0.0688749681866764,-0.0133794565088955,0.3214725776289319,0.1377499363733528,2.7892879881298296e-18
li1600,0.5,0,0.015,0.1224744871391589,1600,3200,1600,56.44825074200895,228,1,2,38,344.47560421184073,0.823866258738627,4,4,0.3,1,lowest-cost,,,7.89074518628853,4.658760633489441,0.5547231759867695,0.1156309207808983,-0.3911963595887339,0.0689074995361787,-0.0181810003876165,0.3654845422630562,0.1378149990723576,3.2662114549015713e-17
li1600,0.5,1,0.015,0.1224744871391589,1600,3200,1600,56.46114262688455,228,1,2,36,413.7291990856833,0.958327527192558,4,4,1.0,1,lowest-cost,,,7.888042776275747,3.4027224679577692,0.5569792153249695,0.11767453452859,-0.3905622926486964,0.070544903556867,-0.0179089751621665,0.3652351770861575,0.141089807113734,1.2266347333466993e-18
li1600,0.5,2,0.015,0.1224744871391589,1600,3200,1600,56.4516595302011,228,1,2,41,390.59387257643874,0.93096879654382,4,4,0.5,1,lowest-cost,,,7.890030482597276,3.8667673290719544,0.5382480544207341,0.1162215968813113,-0.373885895870525,0.0698438676920131,-0.0174474519426742,0.3492114727043423,0.1396877353840262,-1.7557692007854553e-17
li1600,0.5,3,0.015,0.1224744871391589,1600,3200,1600,56.43995171100938,228,1,2,56,421.6521550167026,0.9465048730531342,4,4,1.0,1,lowest-cost,,,7.892485654099293,2.3457985842711797,0.5347896606952253,0.1137441795420887,-0.3739310993458031,0.0688075527320824,-0.0164356052746752,0.3506876434605466,0.1376151054641649,-3.918009395674997e-17
li1600,0.5,4,0.015,0.1224744871391589,1600,3200,1600,56.439753945613475,228,1,2,35,404.8451787842716,0.920479178327918,4,4,1.0,1,lowest-cost,,,7.892527137144705,1.809193376371919,0.5120114647391204,0.1066626378883661,-0.3611677156389026,0.0666860515113349,-0.0123543194199253,0.3436960695613548,0.1333721030226697,-1.019788360777436e-17
li1760,0.55,0,0.015,0.1224744871391589,1760,3200,1440,56.24484669214875,228,1,2,55,348.8320556231167,0.84327890199144,4,4,0.5,1,lowest-cost,,,7.933588037823997,4.976144535730262,0.52818246090254,0.1162064701132395,-0.410697303487761,0.0689130476710899,-0.0257415804395942,0.4156696702190667,0.1378260953421799,3.956165414783277e-18
li1760,0.55,1,0.015,0.1224744871391589,1760,3200,1440,56.245522836835896,228,1,2,23,416.1417860513076,0.9265566758994062,4,4,1.0,1,lowest-cost,,,7.933444980109981,1.5798402335204118,0.4907244583901635,0.1110389762961335,-0.3769891685434195,0.068171243010282,-0.0211345181720486,0.3852717278259215,0.1363424860205641,-4.767178758452781e-18
li1760,0.55,2,0.015,0.1224744871391589,1760,3200,1440,56.25047901002486,228,1,2,25,429.1135428066912,0.9323569548253622,4,4,1.0,1,lowest-cost,,,7.932396491406823,1.487636178462187,0.5074709401003478,0.1141964897415867,-0.3907961575378944,0.0692718934336495,-0.0229845278509964,0.3977780968848948,0.1385437868672991,-3.123148505683679e-18
li1760,0.55,3,0.015,0.1224744871391589,1760,3200,1440,56.24224020464618,228,1,2,46,409.7741132325445,0.9399967981933068,4,4,0.3,1,lowest-cost,,,7.934139554910931,5.439618943956931,0.5306683927171816,0.1135389741340072,-0.4174220727417994,0.0670040295794759,-0.0256383488240463,0.423258070964716,0.134008059158952,2.8492133833486456e-17
li1760,0.55,4,0.015,0.1224744871391589,1760,3200,1440,56.24187550321344,228,1,2,44,421.8484290651023,0.9528594114653164,4,4,0.3,1,lowest-cost,,,7.934216728637665,5.335708639729025,0.5185238476232555,0.1142352967134487,-0.4029577565518319,0.0699634150892228,-0.021996570952785,0.4126960096670508,0.1399268301784456,7.714933442153907e-18
li1920,0.6,0,0.015,0.1224744871391589,1920,3200,1280,56.048695993795846,228,1,2,69,350.25974245237234,0.8479995295369535,4,4,0.3,1,lowest-cost,,,7.975271600648016,4.940235396933363,0.487592397173954,0.1166306514999913,-0.4127670359036777,0.0709970137507547,-0.0305866570103346,0.4571725592210302,0.1419940275015094,-1.635154818469339e-17
li1920,0.6,1,0.015,0.1224744871391589,1920,3200,1280,56.051619059651344,228,1,2,25,416.8129178947101,0.9186068204212102,4,4,1.0,1,lowest-cost,,,7.974647748726467,1.2381333845467308,0.4694581655112039,0.1138896257266114,-0.39489117096265,0.0697778182467107,-0.0291573171049429,0.4375391701386216,0.1395556364934216,2.401718014021463e-18
li1920,0.6,2,0.015,0.1224744871391589,1920,3200,1280,56.03589096125322,228,1,2,184,410.4389925024851,0.9470006947871176,4,4,1.0,1,lowest-cost,,,7.97800545866112,38.39940126783314,0.414079318171498,0.1031905610930425,-0.3439829182374839,0.0685537589750569,-0.017989100211027,0.3928480500957408,0.1371075179501139,-1.8816058830816677e-17
