system,solute_cation,tag,x_LiCl,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Li,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_LiLi,S0_LiCl,S0_LiNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ,x_MgCl2,n_Mg,S0_MgMg,S0_MgCl,S0_MgNa
MgCl2-NaCl,Mg,cl3360,,0,0.02,0.1414213562373095,,3360,2720,58.379254921539875,367,1,2,46,459.6889156734345,0.7440935166062147,4,4,0.5,1,lowest-cost,,,8.045533541677974,6.796137339196932,,,,0.0715979120423586,0.0124048599349314,0.1662585981209714,0.111029369403513,2.1191434745014665e-18,0.1052631578947368,320,0.4826483084307641,0.0979188402377652,-0.2222633017773606
MgCl2-NaCl,Mg,cl3360,,1,0.02,0.1414213562373095,,3360,2720,58.3764895111863,367,1,2,2072,575.1757467406271,0.8951515240855058,4,4,0.3,1,lowest-cost,,,8.046105247824686,5.906618106941222,,,,0.0706155870016064,0.0132312183658585,0.1586026743448903,0.1096410654025191,1.0585926153699766e-17,0.1052631578947368,320,0.4598974714772621,0.0951226777054392,-0.2097641172864323
MgCl2-NaCl,Mg,cl3360,,2,0.02,0.1414213562373095,,3360,2720,58.394850038636086,367,1,2,1913,606.8083436688194,0.8729778008987371,4,4,0.5,1,lowest-cost,,,8.042310757646856,6.361667216002847,,,,0.071093212925024,0.0164045226908609,0.1602089819528735,0.1126243494459894,9.909313776380132e-18,0.1052631578947368,320,0.4495751882726314,0.0912706739288677,-0.2069643522621817
MgCl2-NaCl,Mg,cl3360,,3,0.02,0.1414213562373095,,3360,2720,58.38228936707715,367,1,2,61,617.0873224806172,0.8799442425144844,4,4,0.75,1,lowest-cost,,,8.044906294535462,10.32221867938532,,,,0.0715372222570883,0.0117086635235505,0.1654041506021139,0.1103736104014601,7.555292936159307e-18,0.1052631578947368,320,0.4839618577290158,0.0988353834934515,-0.222145708286909
MgCl2-NaCl,Mg,cl3360,,4,0.02,0.1414213562373095,,3360,2720,58.36392080055984,367,1,2,127,602.2514922509761,0.8636652319012955,4,4,0.5,1,lowest-cost,,,8.048704489226902,6.131511891168551,,,,0.0698985019457923,0.0121963996731447,0.1620020996690261,0.1084219854914896,-1.0996032327357465e-19,0.1052631578947368,320,0.4701269828831296,0.0954693616333559,-0.216396186574557
MgCl2-NaCl,Mg,cl3424,,0,0.02,0.1414213562373095,,3424,2528,58.37636020305407,367,1,2,52,300.66329958444294,0.57685900023218,4,4,0.3,1,lowest-cost,,,8.25336243699846,6.995843386297118,,,,0.072507006312539,0.0129089712820891,0.1759524215552661,0.1135570107903292,2.0094286637789672e-18,0.1505376344086021,448,0.344371146931553,0.084892975637008,-0.1911409498355286
MgCl2-NaCl,Mg,cl3424,,1,0.02,0.1414213562373095,,3424,2528,58.37634030957153,367,1,2,404,514.2786777396659,0.7813384059581149,4,4,1.0,1,lowest-cost,,,8.253366655868673,5.8480013961014565,,,,0.070633106509874,0.0150470466123346,0.1722734173073545,0.1124123152516806,1.903186567499701e-17,0.1505376344086021,448,0.3285800977765352,0.0797632436054845,-0.1838158365850807
MgCl2-NaCl,Mg,cl3424,,2,0.02,0.1414213562373095,,3424,2528,58.39158467868759,367,1,2,70,520.4273708201438,0.8103049496676601,4,4,0.3,1,lowest-cost,,,8.250134790619764,6.275650910041469,,,,0.0724589652897934,0.0129354402681634,0.1787892928695551,0.1137975741801302,8.720340205018138e-18,0.1505376344086021,448,0.3481944561593458,0.0847951310694911,-0.1944738133074144
MgCl2-NaCl,Mg,cl3424,,3,0.02,0.1414213562373095,,3424,2528,58.36470610714511,367,1,2,98,474.6217028716576,0.7637008856612656,4,4,0.5,1,lowest-cost,,,8.255834571748492,9.581229258533789,,,,0.071884355620357,0.014869879913433,0.1659551143033921,0.1131724083865228,2.0112511606663126e-17,0.1505376344086021,448,0.3226392977809051,0.0817032546759421,-0.176556262379368
MgCl2-NaCl,Mg,cl3424,,4,0.02,0.1414213562373095,,3424,2528,58.37248135860813,367,1,2,918,517.5463529043578,0.7920842891303673,4,4,0.3,1,lowest-cost,,,8.25418510309355,6.104910540158868,,,,0.072047366496716,0.0113802599868297,0.17742786642884,0.1120952944000315,-1.164873044766633e-17,0.1505376344086021,448,0.3505939812694743,0.0860733258217215,-0.1950065033182292
MgCl2-NaCl,Mg,cl3488,,0,0.02,0.1414213562373095,,3488,2336,58.41759332503768,367,1,2,619,222.23066899927863,0.4846373789404872,4,4,0.3,1,lowest-cost,,,8.446564841479468,8.038665425855402,,,,0.0735775935666881,0.0143293015774968,0.184190987731724,0.1166184713617959,-2.0437577405689242e-17,0.1978021978021978,576,0.2626318690437719,0.0761015450399601,-0.1678348808596459
