algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_I,n_X,x_O,x_Na,x_Cl,x_I,x_X,x_I_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OI,S0_NaNa,S0_NaCl,S0_NaI,S0_ClCl,S0_ClI,S0_II
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O28160-Na1920-Cl960-I960-2-allSk.dat,2,main,28160,1920,960,960,3840,0.88,0.06,0.03,0.03,0.12,0.5,467,0.7157445840423063,1,0.6162767600248704,0.6162767600248704,0.09835368713686021,-0.06052857111540155,0.05588193330521149,-0.14148225948767656,0.1938803575937642,0.1984824052711271,0.07570582591571973,0.6685379515437393,-0.3878414421168783,0.49490564787754554
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O28160-Na1920-Cl640-I1280-2-allSk.dat,2,main,28160,1920,640,1280,3840,0.88,0.06,0.02,0.04,0.12,0.6666666666666666,89,0.9549330913058186,1,0.6162767600248704,0.6162767600248704,0.10819015996027125,-0.06179552386801697,0.08260624266133074,-0.13409518528647876,0.15844732216829235,0.15974745742870347,0.08109903478620134,0.8065664827945921,-0.3746787502581881,0.3642635120032739
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O28160-Na1920-Cl640-I1280-2-allSk.dat,2,main,28160,1920,640,1280,3840,0.88,0.06,0.02,0.04,0.12,0.6666666666666666,229,0.7995065063357457,1,0.6162767600248704,0.6162767600248704,0.10631707305206808,-0.0685385834385504,0.06918633718507688,-0.13286440674783595,0.17322047229420207,0.16501414121771563,0.09546826681563152,0.7838783928847646,-0.3521855040709451,0.3659570283272562
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O28160-Na1920-Cl640-I1280-2-allSk.dat,2,main,28160,1920,640,1280,3840,0.88,0.06,0.02,0.04,0.12,0.6666666666666666,470,0.6099949888344317,1,0.6162767600248704,0.6162767600248704,0.10356464766464424,-0.06970691775129645,0.06869473677306717,-0.13394770422047608,0.18475213287392966,0.17692204762991465,0.10117144759548058,0.8313648716839942,-0.37117936793719974,0.38637265967875856
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O28160-Na1920-Cl320-I1600-2-allSk.dat,2,main,28160,1920,320,1600,3840,0.88,0.06,0.01,0.05,0.12,0.8333333333333334,89,0.9272172119513541,1,0.6162767600248704,0.6162767600248704,0.0972042651761506,-0.0691581122331082,0.051561521290486224,-0.09881792953486065,0.1431203157537166,0.1060603686490442,0.10934881194755505,0.8344487278549013,-0.2569935031115659,0.23471661042678565
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O28160-Na1920-Cl320-I1600-2-allSk.dat,2,main,28160,1920,320,1600,3840,0.88,0.06,0.01,0.05,0.12,0.8333333333333334,229,0.7552263247883539,1,0.6162767600248704,0.6162767600248704,0.09937874032619479,-0.073249161554984,0.05390520355434633,-0.10434757610170617,0.1529479350774334,0.11704810377718075,0.1152005649948466,0.8763733252381906,-0.2637062922760902,0.24412893529478807
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O28160-Na1920-Cl320-I1600-2-allSk.dat,2,main,28160,1920,320,1600,3840,0.88,0.06,0.01,0.05,0.12,0.8333333333333334,470,0.5844764773183588,1,0.6162767600248704,0.6162767600248704,0.10063506855980708,-0.07638000681457013,0.06154462900905097,-0.11119370017232544,0.16418538100842017,0.1279120248371562,0.12265207704667969,0.9342862328865786,-0.277704902676375,0.2585520266605237
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O28096-Na1952-Cl1920-I32-2-allSk.dat,2,main,28096,1952,1920,32,3904,0.878,0.061,0.06,0.001,0.122,0.01639344262295082,86,0.9420665356568694,1,0.6216473153609047,0.6216473153609047,0.060092003470022165,-0.05920498793619523,-0.054025106390142505,-0.04392906318851461,0.2144644301828968,0.21464932501974787,0.012354224177181905,0.22957550754100445,-0.1018194136377828,0.8851793620553874
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O28096-Na1952-Cl1920-I32-2-allSk.dat,2,main,28096,1952,1920,32,3904,0.878,0.061,0.06,0.001,0.122,0.01639344262295082,228,0.7863437343624216,1,0.6216473153609047,0.6216473153609047,0.0609471971238042,-0.060905708939430134,-0.05564065336057112,-0.04469814582986597,0.21322582753719654,0.21434305517099111,0.0050527843123845395,0.23127648136971374,-0.1173871442466265,0.948740416490292
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O28096-Na1952-Cl1920-I32-2-allSk.dat,2,main,28096,1952,1920,32,3904,0.878,0.061,0.06,0.001,0.122,0.01639344262295082,461,0.671219390099306,1,0.6216473153609047,0.6216473153609047,0.060707512974883526,-0.06267374027391681,-0.05746391373815726,-0.04438399783065119,0.21339837211714552,0.2145840653072807,0.004533544073776555,0.23189363178183642,-0.12028522144429295,0.9671334300301576
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O28096-Na1952-Cl32-I1920-2-allSk.dat,2,main,28096,1952,32,1920,3904,0.878,0.061,0.001,0.06,0.122,0.9836065573770492,89,0.8787698805097224,1,0.6216473153609047,0.6216473153609047,0.09913298556913264,-0.07858787284427779,0.03139458203743137,-0.08329308865753804,0.1345577310375684,0.01704572680474229,0.13347381798511765,0.8158363126681605,-0.08813682752913991,0.1459599190242529
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O28096-Na1952-Cl32-I1920-2-allSk.dat,2,main,28096,1952,32,1920,3904,0.878,0.061,0.001,0.06,0.122,0.9836065573770492,238,0.7112847034195545,1,0.6216473153609047,0.6216473153609047,0.09958194111742844,-0.08253858599687439,0.02920713072118371,-0.08699418962295963,0.1425049338420181,0.02085179742392033,0.1409956122068374,0.8923799459794974,-0.09418091128917845,0.1543244237033019
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O28096-Na1952-Cl32-I1920-2-allSk.dat,2,main,28096,1952,32,1920,3904,0.878,0.061,0.001,0.06,0.122,0.9836065573770492,473,0.6465474611371738,1,0.6216473153609047,0.6216473153609047,0.09949760174229683,-0.08687880293559025,0.028469162023766197,-0.09127515422793586,0.15026679938488496,0.0310938753080321,0.1474996461069349,0.9359577730131866,-0.08947970872953344,0.160275511273278
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O27840-Na2080-Cl1600-I480-2-allSk.dat,2,main,27840,2080,1600,480,4160,0.87,0.065,0.05,0.015,0.13,0.23076923076923078,86,0.9626277666762004,1,0.6425594662531868,0.6425594662531868,0.0857627568614208,-0.0543235732324962,0.013678817707844489,-0.13805752542955435,0.20035331096717462,0.24472769804421796,-0.02974092689627117,0.5395750668679581,-0.4756834571568672,0.8065645227436193
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O27840-Na2080-Cl1600-I480-2-allSk.dat,2,main,27840,2080,1600,480,4160,0.87,0.065,0.05,0.015,0.13,0.23076923076923078,228,0.8287459114089307,1,0.6425594662531868,0.6425594662531868,0.08391006470282769,-0.05167180704726375,0.017316658915208935,-0.1391791928895397,0.191593384709842,0.22189774486092173,-0.006294566393063708,0.487815301520674,-0.4287078242949995,0.7696066349759522
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O27840-Na2080-Cl1600-I480-2-allSk.dat,2,main,27840,2080,1600,480,4160,0.87,0.065,0.05,0.015,0.13,0.23076923076923078,467,0.655046101304982,1,0.6425594662531868,0.6425594662531868,0.08252320471227861,-0.05639662731812092,0.0098119583572914,-0.1353130446579946,0.19962748661610263,0.2206755527421025,0.012661157691719716,0.47550970483325355,-0.40878517710935736,0.7726925104025303
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O27840-Na2080-Cl480-I1600-2-allSk.dat,2,main,27840,2080,480,1600,4160,0.87,0.065,0.015,0.05,0.13,0.7692307692307693,89,0.9243558771213163,1,0.6425594662531868,0.6425594662531868,0.19439633704850348,-0.13622870299743126,0.163618239766343,-0.24494202009011526,0.15367191846024247,0.06473902243668087,0.13975392201680387,1.0358410376354477,-0.4935396598752466,0.429666792181881
