algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_F,n_X,x_O,x_Na,x_Cl,x_F,x_X,x_F_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OF,S0_NaNa,S0_NaCl,S0_NaF,S0_ClCl,S0_ClF,S0_FF
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30080-Na960-Cl160-F800-1-allSk.dat,1,main,30080,960,160,800,1920,0.94,0.03,0.005,0.025,0.06,0.8333333333333334,228,0.9259454629972145,1,0.42938301201054485,0.42938301201054485,0.06212602824567828,0.043177905771303544,-0.08578063924273821,0.08566129405358064,0.5866508781555062,0.10451698471778076,0.5959024221655181,0.8308661698569493,-0.25708202685630255,0.7677489749528653
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30080-Na960-Cl160-F800-1-allSk.dat,1,main,30080,960,160,800,1920,0.94,0.03,0.005,0.025,0.06,0.8333333333333334,461,0.8501495540092946,1,0.42938301201054485,0.42938301201054485,0.06092153033277108,0.039980399841703276,-0.08575464349130602,0.08214697614931774,0.5838515746333206,0.11113973534492116,0.5898741546766455,0.8514686048491089,-0.2590408560627678,0.7620213538325978
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30016-Na992-Cl960-F32-1-allSk.dat,1,main,30016,992,960,32,1984,0.938,0.031,0.03,0.001,0.062,0.03225806451612903,86,0.9326036938767565,1,0.43708298096511644,0.43708298096511644,0.061937827728770795,-0.05440042367229872,-0.0605932096360845,0.028993937247749325,0.35101653820830253,0.3437380464470919,0.07164655308184202,0.35903964040433595,-0.05268865572305133,0.6874987776100783
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30016-Na992-Cl960-F32-1-allSk.dat,1,main,30016,992,960,32,1984,0.938,0.031,0.03,0.001,0.062,0.03225806451612903,228,0.845457400206722,1,0.43708298096511644,0.43708298096511644,0.06107764298253594,-0.05729049557205643,-0.06250671778124706,0.023383413669015793,0.3661628597020674,0.35008546316699257,0.12121146892904208,0.3632704132972143,-0.04052063260506576,0.8968175422911374
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30016-Na992-Cl960-F32-1-allSk.dat,1,main,30016,992,960,32,1984,0.938,0.031,0.03,0.001,0.062,0.03225806451612903,467,0.7770492904715174,1,0.43708298096511644,0.43708298096511644,0.06047214787773775,-0.05819729598533291,-0.0638766871355071,0.025838193827965452,0.3667566174789785,0.35144922976075,0.11704771505374985,0.36632728027978667,-0.04967065158160203,0.9237514597991824
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30016-Na992-Cl32-F960-1-allSk.dat,1,main,30016,992,32,960,1984,0.938,0.031,0.001,0.03,0.062,0.967741935483871,86,0.9793511274194163,1,0.43708298096511644,0.43708298096511644,0.05343882615675227,0.04715994797254533,-0.03780565113541257,0.05484184003267662,0.6187028439185771,0.07953461367981639,0.6144090627196563,0.8538806030525291,-0.07504723144266656,0.6382669596404182
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30016-Na992-Cl32-F960-1-allSk.dat,1,main,30016,992,32,960,1984,0.938,0.031,0.001,0.03,0.062,0.967741935483871,226,0.9502211743465908,1,0.43708298096511644,0.43708298096511644,0.054661563342922076,0.05644265058484102,-0.042200174443009685,0.0650803126562105,0.63600146593993,0.05115013410957428,0.6371759049973951,0.9598723317728246,-0.12325226132706674,0.6702111329404041
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30016-Na992-Cl32-F960-1-allSk.dat,1,main,30016,992,32,960,1984,0.938,0.031,0.001,0.03,0.062,0.967741935483871,461,0.8980351769114026,1,0.43708298096511644,0.43708298096511644,0.05366135721676217,0.05123967003333126,-0.04390555424576796,0.06010268492865829,0.618073251144013,0.054343047125092345,0.6183683925015426,0.9723489657391351,-0.12228448060259711,0.6509160396300724
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O29760-Na1120-Cl960-F160-1-allSk.dat,1,main,29760,1120,960,160,2240,0.93,0.035,0.03,0.005,0.07,0.14285714285714285,86,0.9129397632478983,1,0.46472640791409303,0.46472640791409303,0.05940847518824567,-0.042934837498631806,-0.0664802534824054,0.04924779640042738,0.3841407094653023,0.3195974060600976,0.23349021773678613,0.3889188998930011,-0.10707759996607825,0.8800425324966077
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O29760-Na1120-Cl960-F160-1-allSk.dat,1,main,29760,1120,960,160,2240,0.93,0.035,0.03,0.005,0.07,0.14285714285714285,228,0.7935614375751636,1,0.46472640791409303,0.46472640791409303,0.06251007529322677,-0.044283071765506776,-0.07186783224099018,0.058877522728810694,0.381372333383761,0.3103627685237705,0.2487859330130822,0.3840664675651379,-0.11962417112037188,0.9512438885920802
